
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 0 tensor(1.9720, device='cuda:0', grad_fn=<NllLossBackward0>)
0 1 tensor(1.9324, device='cuda:0', grad_fn=<NllLossBackward0>)
0 2 tensor(1.9291, device='cuda:0', grad_fn=<NllLossBackward0>)
0 3 tensor(1.9924, device='cuda:0', grad_fn=<NllLossBackward0>)
0 4 tensor(2.0295, device='cuda:0', grad_fn=<NllLossBackward0>)
0 5 tensor(1.9769, device='cuda:0', grad_fn=<NllLossBackward0>)
0 6 tensor(1.9851, device='cuda:0', grad_fn=<NllLossBackward0>)
0 7 tensor(1.9175, device='cuda:0', grad_fn=<NllLossBackward0>)
0 8 tensor(1.8950, device='cuda:0', grad_fn=<NllLossBackward0>)
0 9 tensor(1.9577, device='cuda:0', grad_fn=<NllLossBackward0>)
0 10 tensor(1.8804, device='cuda:0', grad_fn=<NllLossBackward0>)
0 11 tensor(1.9221, device='cuda:0', grad_fn=<NllLossBackward0>)
0 12 tensor(1.9450, device='cuda:0', grad_fn=<NllLossBackward0>)
0 13 tensor(1.8842, device='cuda:0', grad_fn=<NllLossBackward0>)
0 14 tensor(1.8303, device='cuda:0', grad_fn=<NllLossBackward0>)
0 15 tensor(1.9812, device='cuda:0', grad_fn=<NllLossBackward0>)
0 16 tensor(1.9488, device='cuda:0', grad_fn=<NllLossBackward0>)
0 17 tensor(1.9962, device='cuda:0', grad_fn=<NllLossBackward0>)
0 18 tensor(1.8735, device='cuda:0', grad_fn=<NllLossBackward0>)
0 19 tensor(1.8774, device='cuda:0', grad_fn=<NllLossBackward0>)
0 20 tensor(1.9730, device='cuda:0', grad_fn=<NllLossBackward0>)
0 21 tensor(1.8785, device='cuda:0', grad_fn=<NllLossBackward0>)
0 22 tensor(1.9414, device='cuda:0', grad_fn=<NllLossBackward0>)
0 23 tensor(1.9226, device='cuda:0', grad_fn=<NllLossBackward0>)
0 24 tensor(1.9873, device='cuda:0', grad_fn=<NllLossBackward0>)
0 25 tensor(1.9120, device='cuda:0', grad_fn=<NllLossBackward0>)
0 26 tensor(1.8951, device='cuda:0', grad_fn=<NllLossBackward0>)
0 27 tensor(2.0242, device='cuda:0', grad_fn=<NllLossBackward0>)
0 28 tensor(1.7585, device='cuda:0', grad_fn=<NllLossBackward0>)
0 29 tensor(1.8919, device='cuda:0', grad_fn=<NllLossBackward0>)
0 30 tensor(1.7665, device='cuda:0', grad_fn=<NllLossBackward0>)
0 31 tensor(1.8835, device='cuda:0', grad_fn=<NllLossBackward0>)
0 32 tensor(1.9908, device='cuda:0', grad_fn=<NllLossBackward0>)
0 33 tensor(2.0066, device='cuda:0', grad_fn=<NllLossBackward0>)
0 34 tensor(1.9740, device='cuda:0', grad_fn=<NllLossBackward0>)
0 35 tensor(2.0240, device='cuda:0', grad_fn=<NllLossBackward0>)
0 36 tensor(1.9177, device='cuda:0', grad_fn=<NllLossBackward0>)
0 37 tensor(1.9313, device='cuda:0', grad_fn=<NllLossBackward0>)
0 38 tensor(1.8716, device='cuda:0', grad_fn=<NllLossBackward0>)
0 39 tensor(1.8419, device='cuda:0', grad_fn=<NllLossBackward0>)
0 40 tensor(1.9427, device='cuda:0', grad_fn=<NllLossBackward0>)
0 41 tensor(1.7935, device='cuda:0', grad_fn=<NllLossBackward0>)
0 42 tensor(1.9578, device='cuda:0', grad_fn=<NllLossBackward0>)
0 43 tensor(1.9204, device='cuda:0', grad_fn=<NllLossBackward0>)
0 44 tensor(1.9038, device='cuda:0', grad_fn=<NllLossBackward0>)
0 45 tensor(1.8865, device='cuda:0', grad_fn=<NllLossBackward0>)
0 46 tensor(1.7765, device='cuda:0', grad_fn=<NllLossBackward0>)
0 47 tensor(1.8968, device='cuda:0', grad_fn=<NllLossBackward0>)
0 48 tensor(1.8947, device='cuda:0', grad_fn=<NllLossBackward0>)
0 49 tensor(1.8892, device='cuda:0', grad_fn=<NllLossBackward0>)
0 50 tensor(1.8102, device='cuda:0', grad_fn=<NllLossBackward0>)
0 51 tensor(1.9294, device='cuda:0', grad_fn=<NllLossBackward0>)
0 52 tensor(1.8929, device='cuda:0', grad_fn=<NllLossBackward0>)
0 53 tensor(1.9247, device='cuda:0', grad_fn=<NllLossBackward0>)
0 54 tensor(1.9070, device='cuda:0', grad_fn=<NllLossBackward0>)
0 55 tensor(1.9628, device='cuda:0', grad_fn=<NllLossBackward0>)
0 56 tensor(1.7941, device='cuda:0', grad_fn=<NllLossBackward0>)
0 57 tensor(1.9432, device='cuda:0', grad_fn=<NllLossBackward0>)
0 58 tensor(1.8759, device='cuda:0', grad_fn=<NllLossBackward0>)
0 59 tensor(1.8935, device='cuda:0', grad_fn=<NllLossBackward0>)
0 60 tensor(1.9272, device='cuda:0', grad_fn=<NllLossBackward0>)
0 61 tensor(1.8453, device='cuda:0', grad_fn=<NllLossBackward0>)
0 62 tensor(1.8050, device='cuda:0', grad_fn=<NllLossBackward0>)
0 63 tensor(1.9036, device='cuda:0', grad_fn=<NllLossBackward0>)
0 64 tensor(1.9061, device='cuda:0', grad_fn=<NllLossBackward0>)
0 65 tensor(1.9517, device='cuda:0', grad_fn=<NllLossBackward0>)
0 66 tensor(1.9679, device='cuda:0', grad_fn=<NllLossBackward0>)
0 67 tensor(1.9493, device='cuda:0', grad_fn=<NllLossBackward0>)
0 68 tensor(1.9739, device='cuda:0', grad_fn=<NllLossBackward0>)
0 69 tensor(2.0614, device='cuda:0', grad_fn=<NllLossBackward0>)
0 70 tensor(1.9235, device='cuda:0', grad_fn=<NllLossBackward0>)
0 71 tensor(2.0212, device='cuda:0', grad_fn=<NllLossBackward0>)
0 72 tensor(1.9322, device='cuda:0', grad_fn=<NllLossBackward0>)
0 73 tensor(1.9611, device='cuda:0', grad_fn=<NllLossBackward0>)
0 74 tensor(1.8524, device='cuda:0', grad_fn=<NllLossBackward0>)
0 75 tensor(1.9037, device='cuda:0', grad_fn=<NllLossBackward0>)
0 76 tensor(1.9834, device='cuda:0', grad_fn=<NllLossBackward0>)
0 77 tensor(1.9314, device='cuda:0', grad_fn=<NllLossBackward0>)
0 78 tensor(1.9854, device='cuda:0', grad_fn=<NllLossBackward0>)
0 79 tensor(2.0442, device='cuda:0', grad_fn=<NllLossBackward0>)
0 80 tensor(1.9740, device='cuda:0', grad_fn=<NllLossBackward0>)
0 81 tensor(1.9134, device='cuda:0', grad_fn=<NllLossBackward0>)
0 82 tensor(1.8985, device='cuda:0', grad_fn=<NllLossBackward0>)
0 83 tensor(2.0107, device='cuda:0', grad_fn=<NllLossBackward0>)
0 84 tensor(2.0013, device='cuda:0', grad_fn=<NllLossBackward0>)
0 85 tensor(1.7756, device='cuda:0', grad_fn=<NllLossBackward0>)
0 86 tensor(1.9266, device='cuda:0', grad_fn=<NllLossBackward0>)
0 87 tensor(1.7960, device='cuda:0', grad_fn=<NllLossBackward0>)
0 88 tensor(1.8623, device='cuda:0', grad_fn=<NllLossBackward0>)
0 89 tensor(1.9048, device='cuda:0', grad_fn=<NllLossBackward0>)
0 90 tensor(1.9539, device='cuda:0', grad_fn=<NllLossBackward0>)
0 91 tensor(1.9433, device='cuda:0', grad_fn=<NllLossBackward0>)
0 92 tensor(2.0983, device='cuda:0', grad_fn=<NllLossBackward0>)
0 93 tensor(1.8435, device='cuda:0', grad_fn=<NllLossBackward0>)
0 94 tensor(1.8839, device='cuda:0', grad_fn=<NllLossBackward0>)
0 95 tensor(1.8334, device='cuda:0', grad_fn=<NllLossBackward0>)
0 96 tensor(1.8920, device='cuda:0', grad_fn=<NllLossBackward0>)
0 97 tensor(1.8457, device='cuda:0', grad_fn=<NllLossBackward0>)
0 98 tensor(1.9198, device='cuda:0', grad_fn=<NllLossBackward0>)
0 99 tensor(1.9505, device='cuda:0', grad_fn=<NllLossBackward0>)
0 100 tensor(2.0370, device='cuda:0', grad_fn=<NllLossBackward0>)
0 101 tensor(1.9510, device='cuda:0', grad_fn=<NllLossBackward0>)
0 102 tensor(1.9196, device='cuda:0', grad_fn=<NllLossBackward0>)
0 103 tensor(1.7895, device='cuda:0', grad_fn=<NllLossBackward0>)
0 104 tensor(1.9357, device='cuda:0', grad_fn=<NllLossBackward0>)
0 105 tensor(1.8573, device='cuda:0', grad_fn=<NllLossBackward0>)
0 106 tensor(1.7362, device='cuda:0', grad_fn=<NllLossBackward0>)
0 107 tensor(1.8809, device='cuda:0', grad_fn=<NllLossBackward0>)
0 108 tensor(1.9940, device='cuda:0', grad_fn=<NllLossBackward0>)
0 109 tensor(1.8588, device='cuda:0', grad_fn=<NllLossBackward0>)
0 110 tensor(1.8927, device='cuda:0', grad_fn=<NllLossBackward0>)
0 111 tensor(1.8746, device='cuda:0', grad_fn=<NllLossBackward0>)
0 112 tensor(1.9092, device='cuda:0', grad_fn=<NllLossBackward0>)
0 113 tensor(1.9610, device='cuda:0', grad_fn=<NllLossBackward0>)
0 114 tensor(1.9235, device='cuda:0', grad_fn=<NllLossBackward0>)
0 115 tensor(1.8940, device='cuda:0', grad_fn=<NllLossBackward0>)
0 116 tensor(1.9005, device='cuda:0', grad_fn=<NllLossBackward0>)
0 117 tensor(1.9997, device='cuda:0', grad_fn=<NllLossBackward0>)
0 118 tensor(1.8286, device='cuda:0', grad_fn=<NllLossBackward0>)
0 119 tensor(1.9512, device='cuda:0', grad_fn=<NllLossBackward0>)
0 120 tensor(1.8798, device='cuda:0', grad_fn=<NllLossBackward0>)
0 121 tensor(1.9554, device='cuda:0', grad_fn=<NllLossBackward0>)
0 122 tensor(1.8848, device='cuda:0', grad_fn=<NllLossBackward0>)
0 123 tensor(1.8616, device='cuda:0', grad_fn=<NllLossBackward0>)
0 124 tensor(1.8179, device='cuda:0', grad_fn=<NllLossBackward0>)
0 125 tensor(1.8948, device='cuda:0', grad_fn=<NllLossBackward0>)
0 126 tensor(1.8694, device='cuda:0', grad_fn=<NllLossBackward0>)
0 127 tensor(1.8285, device='cuda:0', grad_fn=<NllLossBackward0>)
0 128 tensor(1.8538, device='cuda:0', grad_fn=<NllLossBackward0>)
0 129 tensor(1.8559, device='cuda:0', grad_fn=<NllLossBackward0>)
0 130 tensor(2.0566, device='cuda:0', grad_fn=<NllLossBackward0>)
0 131 tensor(1.8126, device='cuda:0', grad_fn=<NllLossBackward0>)
0 132 tensor(1.9853, device='cuda:0', grad_fn=<NllLossBackward0>)
0 133 tensor(1.9558, device='cuda:0', grad_fn=<NllLossBackward0>)
0 134 tensor(1.6709, device='cuda:0', grad_fn=<NllLossBackward0>)
0 135 tensor(1.9565, device='cuda:0', grad_fn=<NllLossBackward0>)
0 136 tensor(1.9407, device='cuda:0', grad_fn=<NllLossBackward0>)
0 137 tensor(1.7978, device='cuda:0', grad_fn=<NllLossBackward0>)
0 138 tensor(1.9105, device='cuda:0', grad_fn=<NllLossBackward0>)
0 139 tensor(1.8801, device='cuda:0', grad_fn=<NllLossBackward0>)
0 140 tensor(1.8791, device='cuda:0', grad_fn=<NllLossBackward0>)
0 141 tensor(1.8550, device='cuda:0', grad_fn=<NllLossBackward0>)
0 142 tensor(1.8609, device='cuda:0', grad_fn=<NllLossBackward0>)
0 143 tensor(1.9211, device='cuda:0', grad_fn=<NllLossBackward0>)
0 144 tensor(1.8795, device='cuda:0', grad_fn=<NllLossBackward0>)
0 145 tensor(1.9104, device='cuda:0', grad_fn=<NllLossBackward0>)
0 146 tensor(1.7569, device='cuda:0', grad_fn=<NllLossBackward0>)
0 147 tensor(1.7725, device='cuda:0', grad_fn=<NllLossBackward0>)
0 148 tensor(1.8366, device='cuda:0', grad_fn=<NllLossBackward0>)
0 149 tensor(1.8379, device='cuda:0', grad_fn=<NllLossBackward0>)
