
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 0 tensor(1.7778, device='cuda:0', grad_fn=<NllLossBackward0>)
0 1 tensor(1.8618, device='cuda:0', grad_fn=<NllLossBackward0>)
0 2 tensor(1.7342, device='cuda:0', grad_fn=<NllLossBackward0>)
0 3 tensor(1.8646, device='cuda:0', grad_fn=<NllLossBackward0>)
0 4 tensor(1.8862, device='cuda:0', grad_fn=<NllLossBackward0>)
0 5 tensor(1.7613, device='cuda:0', grad_fn=<NllLossBackward0>)
0 6 tensor(1.9418, device='cuda:0', grad_fn=<NllLossBackward0>)
0 7 tensor(1.8473, device='cuda:0', grad_fn=<NllLossBackward0>)
0 8 tensor(1.9205, device='cuda:0', grad_fn=<NllLossBackward0>)
0 9 tensor(1.9303, device='cuda:0', grad_fn=<NllLossBackward0>)
0 10 tensor(1.9874, device='cuda:0', grad_fn=<NllLossBackward0>)
0 11 tensor(1.8297, device='cuda:0', grad_fn=<NllLossBackward0>)
0 12 tensor(1.8622, device='cuda:0', grad_fn=<NllLossBackward0>)
0 13 tensor(1.8154, device='cuda:0', grad_fn=<NllLossBackward0>)
0 14 tensor(1.8428, device='cuda:0', grad_fn=<NllLossBackward0>)
0 15 tensor(1.8730, device='cuda:0', grad_fn=<NllLossBackward0>)
0 16 tensor(1.8553, device='cuda:0', grad_fn=<NllLossBackward0>)
0 17 tensor(1.9045, device='cuda:0', grad_fn=<NllLossBackward0>)
0 18 tensor(1.8082, device='cuda:0', grad_fn=<NllLossBackward0>)
0 19 tensor(1.8194, device='cuda:0', grad_fn=<NllLossBackward0>)
0 20 tensor(1.7809, device='cuda:0', grad_fn=<NllLossBackward0>)
0 21 tensor(1.7422, device='cuda:0', grad_fn=<NllLossBackward0>)
0 22 tensor(1.8909, device='cuda:0', grad_fn=<NllLossBackward0>)
0 23 tensor(1.9492, device='cuda:0', grad_fn=<NllLossBackward0>)
0 24 tensor(1.7971, device='cuda:0', grad_fn=<NllLossBackward0>)
0 25 tensor(1.9419, device='cuda:0', grad_fn=<NllLossBackward0>)
0 26 tensor(1.8885, device='cuda:0', grad_fn=<NllLossBackward0>)
0 27 tensor(1.8723, device='cuda:0', grad_fn=<NllLossBackward0>)
0 28 tensor(1.8381, device='cuda:0', grad_fn=<NllLossBackward0>)
0 29 tensor(1.8413, device='cuda:0', grad_fn=<NllLossBackward0>)
0 30 tensor(1.9694, device='cuda:0', grad_fn=<NllLossBackward0>)
0 31 tensor(1.8979, device='cuda:0', grad_fn=<NllLossBackward0>)
0 32 tensor(1.8743, device='cuda:0', grad_fn=<NllLossBackward0>)
0 33 tensor(1.8620, device='cuda:0', grad_fn=<NllLossBackward0>)
0 34 tensor(1.8814, device='cuda:0', grad_fn=<NllLossBackward0>)
