
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 0 tensor(1.9010, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 5, 3, 2, 4, 2, 4, 4], device='cuda:0')
0 1 tensor(1.9632, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 1, 3, 4, 1, 3, 1, 1, 5], device='cuda:0')
0 2 tensor(2.0485, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 3, 2, 4, 0, 5, 3, 0, 0], device='cuda:0')
0 3 tensor(2.0066, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 5, 2, 2, 2, 0, 3, 2, 2], device='cuda:0')
0 4 tensor(1.9391, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 0, 0, 5, 1, 0, 2, 2, 2], device='cuda:0')
0 5 tensor(1.9565, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 1, 5, 1, 2, 3, 3, 0, 5], device='cuda:0')
0 6 tensor(1.8187, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 0, 2, 4, 4, 2, 4, 5, 4], device='cuda:0')
0 7 tensor(1.8416, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 3, 2, 4, 4, 4, 4, 4, 2], device='cuda:0')
0 8 tensor(1.9578, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 0, 1, 2, 0, 4, 2, 0, 2], device='cuda:0')
0 9 tensor(1.8726, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 2, 2, 0, 0, 0, 0, 2, 2], device='cuda:0')
0 10 tensor(1.9896, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 2, 0, 0, 1, 4, 5, 5, 1], device='cuda:0')
0 11 tensor(2.0513, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 3, 3, 5, 0, 3, 3, 3, 4], device='cuda:0')
0 12 tensor(1.9558, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 0, 2, 3, 3, 2, 1, 1], device='cuda:0')
0 13 tensor(1.8678, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 2, 3, 1, 0, 1, 1, 3, 5], device='cuda:0')
0 14 tensor(1.8552, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 1, 3, 2, 0, 4, 5, 0, 1], device='cuda:0')
0 15 tensor(2.0159, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 4, 3, 3, 3, 3, 3, 3, 2], device='cuda:0')
0 16 tensor(1.8904, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 3, 1, 5, 5, 5, 0, 4, 0], device='cuda:0')
0 17 tensor(1.7684, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 5, 2, 0, 4, 3, 3, 3, 4], device='cuda:0')
0 18 tensor(1.9027, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 5, 1, 5, 2, 5, 0, 1, 0], device='cuda:0')
0 19 tensor(1.9569, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 0, 0, 5, 4, 0, 4, 3, 4], device='cuda:0')
0 20 tensor(1.9488, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 4, 5, 0, 0, 3, 0, 3, 4], device='cuda:0')
0 21 tensor(1.6698, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 2, 4, 5, 0, 2, 3, 1, 3], device='cuda:0')
0 22 tensor(1.7710, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 5, 0, 1, 4, 0, 5, 2, 5], device='cuda:0')
0 23 tensor(1.9111, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 5, 1, 1, 2, 3, 0, 5], device='cuda:0')
0 24 tensor(1.8750, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 0, 2, 0, 2, 2, 2, 1, 2], device='cuda:0')
0 25 tensor(1.8915, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 0, 1, 4, 2, 2, 5, 0], device='cuda:0')
0 26 tensor(1.9619, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 1, 5, 2, 2, 2, 0, 1, 3], device='cuda:0')
0 27 tensor(1.8832, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 5, 0, 4, 2, 3, 4, 3, 0], device='cuda:0')
0 28 tensor(1.8995, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 2, 2, 5, 5, 1, 3, 1, 5], device='cuda:0')
0 29 tensor(1.7992, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 3, 1, 1, 1, 0, 1, 1, 4], device='cuda:0')
0 30 tensor(1.7392, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 0, 5, 2, 2, 3, 0, 0], device='cuda:0')
0 31 tensor(1.9787, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 2, 0, 5, 2, 1, 4, 4, 3], device='cuda:0')
0 32 tensor(1.8302, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 0, 2, 5, 3, 0, 2, 0], device='cuda:0')
0 33 tensor(1.8920, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 4, 3, 0, 5, 0, 3, 4, 1], device='cuda:0')
0 34 tensor(1.8062, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 0, 5, 0, 1, 1, 3, 4], device='cuda:0')
0 35 tensor(1.8911, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 0, 1, 2, 4, 2, 1, 2], device='cuda:0')
0 36 tensor(1.8418, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 2, 2, 2, 1, 1, 4, 5], device='cuda:0')
0 37 tensor(1.9483, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 1, 3, 1, 0, 0, 1, 0, 0], device='cuda:0')
0 38 tensor(1.7661, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 0, 5, 5, 0, 5, 0, 3, 1], device='cuda:0')
0 39 tensor(1.7641, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 2, 2, 1, 0, 2, 3, 2], device='cuda:0')
0 40 tensor(1.8308, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 1, 2, 0, 4, 4, 4, 4], device='cuda:0')
0 41 tensor(1.9466, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 3, 4, 0, 0, 3, 0, 3, 0], device='cuda:0')
0 42 tensor(1.7676, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 1, 2, 2, 0, 4, 4, 4, 0, 3], device='cuda:0')
0 43 tensor(1.9327, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 4, 0, 2, 5, 0, 0, 0], device='cuda:0')
0 44 tensor(1.5519, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 5, 5, 1, 2, 0, 0, 2, 1], device='cuda:0')
0 45 tensor(1.7236, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 2, 1, 5, 5, 1, 1, 0, 5], device='cuda:0')
0 46 tensor(1.9610, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 4, 5, 2, 2, 2, 0, 0], device='cuda:0')
0 47 tensor(1.8020, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 1, 5, 3, 0, 3, 2, 5, 1], device='cuda:0')
0 48 tensor(1.8794, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 2, 2, 3, 3, 0, 4, 2], device='cuda:0')
0 49 tensor(1.8706, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 1, 4, 3, 4, 2, 3, 0], device='cuda:0')
0 50 tensor(1.7945, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 0, 3, 2, 0, 4, 2, 5, 4], device='cuda:0')
