
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 0 tensor(1.9217, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 0, 4, 3, 4, 4, 3, 2, 0], device='cuda:0')
0 1 tensor(1.9707, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 4, 0, 0, 4, 1, 0, 1, 0], device='cuda:0')
0 2 tensor(2.0125, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 0, 1, 1, 1, 4, 1, 3], device='cuda:0')
0 3 tensor(2.0419, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 1, 5, 2, 1, 1, 3, 3, 0], device='cuda:0')
0 4 tensor(1.8193, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 4, 3, 3, 2, 1, 1, 1, 3], device='cuda:0')
0 5 tensor(1.9206, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 2, 2, 4, 5, 0, 0, 5], device='cuda:0')
0 6 tensor(1.9098, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 1, 0, 0, 3, 0, 0, 5, 3], device='cuda:0')
0 7 tensor(1.9835, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 1, 5, 4, 2, 2, 5, 2], device='cuda:0')
0 8 tensor(2.0754, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 4, 0, 3, 3, 1, 5, 1, 0, 0], device='cuda:0')
0 9 tensor(1.9079, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 2, 2, 2, 1, 3, 2, 4], device='cuda:0')
0 10 tensor(1.8742, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 3, 5, 0, 0, 2, 2, 2, 2], device='cuda:0')
0 11 tensor(1.8419, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 1, 1, 2, 2, 1, 1, 2], device='cuda:0')
0 12 tensor(1.8351, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 3, 4, 2, 2, 4, 2, 4, 2], device='cuda:0')
0 13 tensor(1.7974, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 0, 2, 2, 5, 1, 2, 5, 3], device='cuda:0')
0 14 tensor(1.8830, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 2, 0, 4, 4, 0, 1, 5, 3], device='cuda:0')
0 15 tensor(1.7926, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 2, 5, 5, 5, 3, 1, 5, 2], device='cuda:0')
0 16 tensor(1.9017, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 0, 5, 1, 2, 0, 0, 5, 2], device='cuda:0')
0 17 tensor(1.8714, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 0, 4, 5, 2, 2, 2, 0, 2], device='cuda:0')
0 18 tensor(1.8812, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 2, 2, 2, 2, 0, 2, 4, 0], device='cuda:0')
0 19 tensor(1.7929, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 5, 1, 5, 3, 2, 0, 3, 3], device='cuda:0')
0 20 tensor(1.8522, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 1, 5, 0, 1, 2, 0, 0], device='cuda:0')
0 21 tensor(1.9903, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 0, 0, 0, 5, 4, 0, 0], device='cuda:0')
0 22 tensor(1.8384, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 0, 0, 0, 4, 1, 4, 4], device='cuda:0')
0 23 tensor(1.9292, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 2, 5, 3, 4, 0, 5, 4, 5], device='cuda:0')
0 24 tensor(1.7642, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 1, 2, 5, 5, 3, 5, 1, 0], device='cuda:0')
0 25 tensor(1.8010, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 4, 2, 3, 2, 0, 5, 2], device='cuda:0')
0 26 tensor(1.9385, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 0, 4, 2, 2, 0, 4, 4], device='cuda:0')
0 27 tensor(1.8251, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 4, 1, 2, 5, 0, 0, 3], device='cuda:0')
0 28 tensor(1.9557, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 0, 0, 3, 0, 5, 4, 4], device='cuda:0')
0 29 tensor(1.8581, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 0, 0, 3, 4, 4, 5, 0, 4], device='cuda:0')
0 30 tensor(1.8912, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 1, 0, 4, 1, 3, 3, 1, 4], device='cuda:0')
0 31 tensor(1.7946, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 4, 2, 0, 4, 2, 0, 2, 0], device='cuda:0')
0 32 tensor(1.9752, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 2, 1, 2, 0, 1, 5, 1], device='cuda:0')
0 33 tensor(1.9628, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 4, 4, 0, 2, 0, 2, 4], device='cuda:0')
0 34 tensor(1.8678, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 0, 0, 2, 3, 5, 0, 2, 0], device='cuda:0')
0 35 tensor(2.0361, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 1, 5, 3, 2, 5, 2, 0, 5], device='cuda:0')
0 36 tensor(1.9467, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 3, 2, 5, 2, 3, 3, 4, 0], device='cuda:0')
0 37 tensor(1.8648, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 0, 0, 2, 0, 0, 0, 4, 3], device='cuda:0')
