
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 0 tensor(2.0827, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 3, 2, 2, 3, 3, 0, 3, 0], device='cuda:0')
0 1 tensor(1.8368, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 1, 1, 1, 1, 1, 1, 0, 5], device='cuda:0')
0 2 tensor(1.9797, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 3, 3, 3, 4, 2, 0, 2], device='cuda:0')
0 3 tensor(1.8673, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 0, 4, 3, 3, 5, 3, 2, 2], device='cuda:0')
0 4 tensor(1.8970, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 5, 4, 4, 3, 0, 5, 0, 5], device='cuda:0')
0 5 tensor(1.8715, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 4, 3, 0, 2, 3, 5, 1], device='cuda:0')
0 6 tensor(1.8671, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 3, 0, 5, 4, 5, 4, 5, 5], device='cuda:0')
0 7 tensor(1.8018, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 3, 4, 4, 4, 5, 4, 1, 2], device='cuda:0')
0 8 tensor(2.1345, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 2, 3, 4, 3, 2, 0, 2, 5], device='cuda:0')
0 9 tensor(1.8046, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 0, 4, 3, 3, 3, 4, 4, 1], device='cuda:0')
0 10 tensor(1.8959, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 1, 5, 4, 3, 5, 3, 1, 1], device='cuda:0')
0 11 tensor(1.9107, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 2, 5, 2, 2, 2, 4, 1, 4], device='cuda:0')
0 12 tensor(1.8157, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 5, 1, 3, 1, 4, 3, 4, 1], device='cuda:0')
0 13 tensor(1.8379, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 0, 2, 1, 2, 5, 4, 4, 5], device='cuda:0')
0 14 tensor(1.9140, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 1, 2, 2, 0, 2, 0, 3, 2], device='cuda:0')
0 15 tensor(1.8037, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 5, 0, 4, 3, 0, 1, 4, 2], device='cuda:0')
