
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 0 tensor(1.7551, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 4, 2, 2, 4, 0, 2, 1, 2, 2], device='cuda:0')
0 1 tensor(1.9069, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 4, 3, 1, 3, 5, 4, 2, 4, 3], device='cuda:0')
0 2 tensor(1.7708, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 4, 4, 2, 3, 1, 1, 0, 2, 1], device='cuda:0')
0 3 tensor(1.8335, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 4, 4, 0, 0, 4, 5, 0, 1, 4], device='cuda:0')
0 4 tensor(1.8160, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 5, 5, 3, 1, 1, 3, 1, 0], device='cuda:0')
0 5 tensor(1.7910, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 0, 1, 1, 3, 3, 5, 0, 4], device='cuda:0')
0 6 tensor(1.9491, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 0, 0, 0, 0, 0, 0, 2, 3], device='cuda:0')
0 7 tensor(1.9590, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 4, 5, 0, 4, 1, 4, 1, 4], device='cuda:0')
0 8 tensor(1.8666, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 4, 1, 3, 1, 1, 5, 1, 5], device='cuda:0')
0 9 tensor(1.8955, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 2, 2, 0, 2, 5, 0, 5, 4], device='cuda:0')
0 10 tensor(1.8349, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 4, 1, 3, 5, 5, 1, 1, 2], device='cuda:0')
0 11 tensor(2.0685, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 5, 4, 4, 1, 3, 5, 1, 5], device='cuda:0')
0 12 tensor(1.8441, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 4, 4, 4, 4, 2, 4, 4, 2], device='cuda:0')
0 13 tensor(1.7612, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 2, 5, 2, 5, 2, 1, 1, 5], device='cuda:0')
0 14 tensor(1.8777, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 1, 1, 3, 4, 4, 0, 3, 3], device='cuda:0')
0 15 tensor(1.9039, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 4, 1, 1, 1, 2, 0, 0, 0], device='cuda:0')
0 16 tensor(1.9186, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 5, 5, 2, 2, 5, 4, 4], device='cuda:0')
0 17 tensor(1.8896, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 4, 1, 4, 0, 2, 5, 4, 0], device='cuda:0')
0 18 tensor(2.1173, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 0, 4, 4, 3, 5, 2, 5, 1], device='cuda:0')
0 19 tensor(1.9018, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 5, 4, 1, 2, 1, 4, 5, 2], device='cuda:0')
0 20 tensor(1.8694, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 0, 0, 4, 4, 4, 0, 2, 5], device='cuda:0')
0 21 tensor(1.7838, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 1, 2, 4, 2, 0, 0, 5], device='cuda:0')
0 22 tensor(1.9378, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 2, 4, 2, 4, 1, 1, 0, 3], device='cuda:0')
0 23 tensor(1.9415, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 2, 3, 4, 4, 3, 3, 4, 3], device='cuda:0')
0 24 tensor(1.9782, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 3, 2, 0, 0, 3, 3, 3, 3], device='cuda:0')
0 25 tensor(1.8625, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 2, 0, 0, 5, 1, 1, 0, 2], device='cuda:0')
0 26 tensor(1.8759, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 2, 4, 5, 4, 4, 5, 0, 0], device='cuda:0')
0 27 tensor(1.8246, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 0, 0, 0, 0, 0, 3, 4, 4], device='cuda:0')
0 28 tensor(1.8254, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 5, 3, 4, 5, 4, 2, 0], device='cuda:0')
0 29 tensor(1.8269, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 4, 5, 5, 2, 1, 2, 4], device='cuda:0')
0 30 tensor(1.8308, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 1, 4, 0, 4, 0, 1, 0, 4], device='cuda:0')
0 31 tensor(1.7749, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 5, 1, 3, 3, 0, 5, 0, 3], device='cuda:0')
0 32 tensor(1.8297, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 1, 0, 5, 0, 0, 4, 4], device='cuda:0')
0 33 tensor(1.8174, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 0, 5, 1, 0, 3, 1, 5, 0], device='cuda:0')
0 34 tensor(1.9194, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 3, 1, 5, 0, 1, 0, 1, 0], device='cuda:0')
0 35 tensor(1.6775, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 1, 2, 5, 3, 4, 4, 2], device='cuda:0')
0 36 tensor(1.8505, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 0, 3, 3, 3, 5, 3, 5, 3], device='cuda:0')
0 37 tensor(1.7725, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 5, 5, 5, 4, 3, 4, 1, 5], device='cuda:0')
0 38 tensor(1.9288, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 4, 5, 4, 4, 0, 4, 3, 4], device='cuda:0')
0 39 tensor(1.9448, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 3, 3, 3, 3, 0, 4, 3, 5], device='cuda:0')
0 40 tensor(1.9610, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 5, 5, 1, 4, 2, 3, 0, 5], device='cuda:0')
0 41 tensor(1.9458, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 0, 4, 2, 4, 4, 1, 1, 1], device='cuda:0')
0 42 tensor(1.9448, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 4, 3, 4, 1, 5, 4, 1], device='cuda:0')
0 43 tensor(1.8462, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 4, 4, 4, 3, 0, 0, 1, 3], device='cuda:0')
0 44 tensor(1.9545, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 4, 4, 4, 4, 4, 5, 5, 2], device='cuda:0')
0 45 tensor(1.9312, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 0, 3, 3, 5, 1, 4, 0], device='cuda:0')
0 46 tensor(2.1441, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 4, 5, 3, 4, 1, 4, 1, 4], device='cuda:0')
0 47 tensor(1.6956, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 0, 0, 0, 5, 0, 1, 5, 4], device='cuda:0')
0 48 tensor(1.6236, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 5, 5, 5, 2, 2, 4, 1, 3], device='cuda:0')
0 49 tensor(1.8036, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 3, 4, 2, 2, 2, 1, 4, 4], device='cuda:0')
0 50 tensor(2.0216, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 3, 2, 3, 5, 4, 0, 3, 4], device='cuda:0')
0 51 tensor(1.8079, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 0, 0, 0, 1, 2, 5, 4, 1], device='cuda:0')
0 52 tensor(1.7977, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 3, 0, 2, 4, 5, 4, 4], device='cuda:0')
0 53 tensor(1.7598, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 0, 0, 5, 0, 5, 3, 4], device='cuda:0')
0 54 tensor(1.7490, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 4, 0, 0, 5, 3, 5, 3], device='cuda:0')
0 55 tensor(1.8646, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 3, 3, 5, 1, 2, 1, 2, 4], device='cuda:0')
0 56 tensor(2.1785, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 5, 0, 2, 0, 2, 4, 2, 5], device='cuda:0')
0 57 tensor(2.0043, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 1, 4, 0, 4, 4, 4, 5], device='cuda:0')
0 58 tensor(1.8026, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 4, 4, 1, 2, 4, 2, 1, 2], device='cuda:0')
0 59 tensor(1.7056, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 2, 0, 3, 0, 4, 0, 4], device='cuda:0')
0 60 tensor(1.8405, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 5, 5, 5, 4, 3, 0, 1, 1], device='cuda:0')
0 61 tensor(1.8330, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 5, 0, 2, 4, 5, 1, 4, 5], device='cuda:0')
0 62 tensor(2.0102, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 1, 5, 0, 4, 5, 5, 5, 2], device='cuda:0')
