2023-02-18 17:35:16,839 INFO    MainThread:791298 [wandb_setup.py:_flush():68] Configure stats pid to 791298
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_setup.py:_flush():68] Loading settings from /home/sebastiaan/.config/wandb/settings
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_setup.py:_flush():68] Loading settings from /home/sebastiaan/fun/goodreads_book_reviews/wandb/settings
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/sebastiaan/fun/goodreads_book_reviews/main.py'}
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_init.py:_log_setup():492] Logging user logs to /home/sebastiaan/fun/goodreads_book_reviews/wandb/run-20230218_173516-5htsbuyx/logs/debug.log
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_init.py:_log_setup():493] Logging internal logs to /home/sebastiaan/fun/goodreads_book_reviews/wandb/run-20230218_173516-5htsbuyx/logs/debug-internal.log
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_init.py:init():532] calling init triggers
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'model_name': 'distilbert-base-uncased', 'max_obs': 1000000, 'max_length': 128, 'batch_size': 64, 'hidden_size': 2048, 'lr': 1e-06, 'epochs': 1, 'use_weights': False}
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_init.py:init():588] starting backend
2023-02-18 17:35:16,840 INFO    MainThread:791298 [wandb_init.py:init():592] setting up manager
2023-02-18 17:35:16,841 INFO    MainThread:791298 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-18 17:35:16,841 INFO    MainThread:791298 [wandb_init.py:init():599] backend started and connected
2023-02-18 17:35:16,842 INFO    MainThread:791298 [wandb_init.py:init():687] updated telemetry
2023-02-18 17:35:16,843 INFO    MainThread:791298 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-18 17:35:17,724 INFO    MainThread:791298 [wandb_run.py:_on_init():2134] communicating current version
2023-02-18 17:35:17,954 INFO    MainThread:791298 [wandb_run.py:_on_init():2143] got version response 
2023-02-18 17:35:17,954 INFO    MainThread:791298 [wandb_init.py:init():775] starting run threads in backend
2023-02-18 17:35:18,005 INFO    MainThread:791298 [wandb_run.py:_console_start():2114] atexit reg
2023-02-18 17:35:18,006 INFO    MainThread:791298 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-18 17:35:18,006 INFO    MainThread:791298 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-18 17:35:18,006 INFO    MainThread:791298 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-18 17:35:18,007 INFO    MainThread:791298 [wandb_init.py:init():817] run started, returning control to user process
2023-02-18 17:35:18,008 INFO    MainThread:791298 [wandb_watch.py:watch():51] Watching
2023-02-18 17:35:27,256 WARNING MsgRouterThr:791298 [router.py:message_loop():77] message_loop has been closed
